Date,Weekly New Cases,Unix Day,Normalized
20201220,183,18617,0.943298969
20201227,150,18624,0.773195876
20210103,194,18631,1
20210110,116,18638,0.597938144
20210117,154,18645,0.793814433
20210124,115,18652,0.592783505
20210131,110,18659,0.567010309
20210207,60,18666,0.309278351
20210214,55,18673,0.283505155
20210221,30,18680,0.154639175
20200228,49,18687,0.25257732
20200307,23,18694,0.118556701
20200314,46,18701,0.237113402
