Date,Weekly New Deaths,Unix Day,Normalized
20201220,17973,18617,0.773032258
20201227,16481,18624,0.708860215
20210103,19492,18631,0.838365591
20210110,23250,18638,1
20210117,21991,18645,0.945849462
20210124,22499,18652,0.967698925
20210131,21920,18659,0.942795699
20210207,21243,18666,0.913677419
20210214,18232,18673,0.784172043
20210221,14422,18680,0.620301075
20210228,13213,18687,0.568301075
20210307,10450,18694,0.449462366
20210314,7733,18701,0.332602151
