Date,Weekly Avg Approval,Unix Day
20201220,0.41948636,18617
20201227,0.42448636,18624
20210103,0.42948636,18631
20210110,0.40948636,18638
20210117,0.42948636,18645
20210124,0.51669595,18652
20210131,0.46669595,18659
20210207,0.56169595,18666
20210214,0.54669595,18673
20210221,0.51169595,18680
20210228,0.50669595,18687
20210307,0.580029283,18694
20210314,0.53669595,18701
